Sl no.,Hotel Name,PartnerRef,POS,Bid CPC,Opportunity CPC,Hotel Impr,Clicks,Cost,Avg. CPC,Top Pos Share,Impr Share,Outbid Ratio,Beat,Meet,Lose,Unavailability,Max Potential,Bookings,Booking Rate,CPA,Gross Rev,ABV,Booking Value Index,Net Rev,Net Rev/Click,Profit,ROAS,Margin,Region,Country,City,Stars,Rating
5630,OYO 12944 Hotel Crystal Palace,MUS116,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Dehradun,3,78.51
5631,OYO 8938 near Auroville Beach,PNY063,IN,0.23,,1,0,0,,1,1,0,1,0,0,0,1,0,,,0,,Low,0,,0,,,Pondicherry,India,Puducherry,3,81.99
5632,OYO 13427 Home Royal Orchid,MUS132,IN,0.26,,4,0,0,,1,1,0,1,0,0,0,4,0,,,0,,Low,0,,0,,,Uttarakhand,India,Mussoorie,0,
5633,OYO 128 Archeotel Hotel,MY_KLM040,IN,0.25,,11,0,0,,0.8182,1,0,0.6364,0,0.3636,0,10,0,,,0,,Low,0,,0,,,Kuala Lumpur,Malaysia,Kuala Lumpur,2,76.81
5634,OYO 762 Hotel GMR 18 Grand,BLR090,IN,0.14,0.29,284,0,0,,0.1796,0.9401,0,0.0986,0,0.8415,0.0599,210,0,,,0,,Below Average,0,,0,,,Karnataka,India,Bengaluru,3,80.65
5635,OYO 8291 Hotel Sweet Home,DRG077,IN,0.24,,61,0,0,,0.9508,0.9508,0,0.9508,0,0,0.0492,50,0,,,0,,Low,0,,0,,,West Bengal,India,Darjeeling,3,82.72
5636,OYO 10420 Sai Suraj Kunj,SHI045,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Shirdi,3,83.64
5637,OYO 1272 Hotel Parkview INN,CHN071,IN,0.36,,12,0,0,,1,1,0,1,0,0,0,13,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Chennai,3,
5638,OYO 6278 Orel Inn  BTM Layout,BLR477,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Karnataka,India,Bengaluru,0,82.34
5639,OYO 10582 near Cyber City,GRG828,IN,0.31,,9,0,0,,1,1,0,1,0,0,0,9,0,,,0,,Low,0,,0,,,Haryana,India,Capital,3,81.14
5640,OYO 14162 Hotel Florence,ABU053,IN,0.2,,8,0,0,,1,1,0,1,0,0,0,5,0,,,0,,Low,0,,0,,,Rajasthan,India,Mount Abu,3,
5641,OYO 161 Lodge Paradize Hotel,MY_KLM074,IN,0.29,,23,0,0,,0.3913,1,0,0.1739,0,0.8261,0,20,0,,,0,,Above Average,0,,0,,,Kuala Lumpur,Malaysia,Kuala Lumpur,0,75.5
5642,OYO 12071 Afreen International Guest House,KOL641,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,West Bengal,India,Kolkata,3,80.22
5643,OYO 7968 Blueberg Resort,MNR086,IN,0.13,,59,0,0,,0.7797,0.7797,0,0.7797,0,0,0.2203,27,0,,,0,,Above Average,0,,0,,,Kerala,India,Munnar,3,
5644,OYO 6398 Hotel Holiday Home International,MNL163,IN,0.29,,7,0,0,,0.8571,0.8571,0,0.8571,0,0,0.1429,1,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Kullu,3,
5645,OYO 4937 near DLF,HYD302,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Telangana,India,Hyderabad,3,79.22
5646,Oyo 150  Himalyan Height,NP_KTM040,IN,0.31,,9,0,0,,1,1,0,0.6667,0,0.3333,0,7,0,,,0,,Above Average,0,,0,,,Madhya,Nepal,Kathmandu,0,87.86
5647,OYO 12076 Hotel Apline Hilldon,SHM292,IN,0.3,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Shimla,3,
5648,OYO 11591 Home Festive 3BHK Porvorim,GOA1210,IN,0.24,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Goa,India,Velha Goa,0,
5649,OYO 9976 Wardha Road,NAG054,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Nagpur,3,80
5650,OYO 13188 Home 2BHK Bada Bazar,NAN272,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Nainital,0,
5651,OYO 11738 Home Cozy 1BHK Bhattakufar,SHM276,IN,0.3,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Shimla,0,85.11
5652,OYO 9843 Hotel Sound Sleep,HRD114,IN,0.28,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Haridwar,3,75.47
5653,Oyo 20013 Silverkey Balavinayagar Nagar (females O,CHN549,IN,0.13,0.16,59,0,0,,0,0.9322,0,0.2542,0,0.678,0.0678,52,0,,,0,,Below Average,0,,0,,,Tamil Nadu,India,Chennai,0,81.07
5654,OYO 11528 Kovlam Park,KOV031,IN,0.22,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Kerala,India,Kovalam,3,84.78
5655,OYO 11061 Hotel Awesome,MRT014,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttar Pradesh,India,Meerut,3,84.21
5656,OYO 5058 Gayatri Resort,RKH049,IN,0.29,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Rishikesh,3,81.55
5657,OYO 328 Hotel Royal Annex,MUM004,IN,0.15,0.22,1425,0,0,,0.2225,0.8884,0.0008,0.4196,0.0007,0.4681,0.1116,961,0,,,0,,Below Average,0,,0,,,Maharashtra,India,Mumbai,3,72.2
5658,OYO 1726 Hotel City Plaza 7,CHA047,IN,0.23,0.38,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Punjab,India,Chandigarh,3,80.37
5659,OYO 13495 Aana Palace,DEL941,IN,0.3,,24,0,0,,1,1,0,1,0,0,0,18,0,,,0,,Low,0,,0,,,Delhi,India,Delhi,3,81.67
5660,OYO 12363 Hotel Ratan international,RPR087,IN,0.31,,8,0,0,,0.875,0.875,0,0.875,0,0,0.125,5,0,,,0,,Low,0,,0,,,Chhattisgarh,India,Raipur,3,
5661,OYO 9740 Hotel Him Sagar,CHA295,IN,0.11,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Punjab,India,Chandigarh,3,84.69
5662,OYO 10302 Home Studio Bhatakuffer,SHM255,IN,0.15,,128,0,0,,0.8047,0.8047,0,0.8047,0,0,0.1953,89,0,,,0,,Above Average,0,,0,,,Himachal Pradesh,India,Solan,0,81.97
5663,OYO 11346 Hotel Tazz Odisha,BBS187,IN,0.07,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Odisha,India,Bhubaneswar,3,81.96
5664,OYO 15431 Elibrista,MRT026,IN,0.24,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttar Pradesh,India,Meerut,3,81.75
5665,OYO 11219 Hotel Corporate Stay,PUN005,IN,0.25,0.47,697,0,0,,0.0086,0.0115,0,0.0057,0,0.0057,0.9885,4,0,,,0,,Below Average,0,,0,,,Maharashtra,India,Pune,3,76.94
5666,OYO 10427 Shola Heaven,MNR125,IN,0.29,,3,0,0,,1,1,0,1,0,0,0,3,0,,,0,,Low,0,,0,,,Kerala,India,Munnar,3,
5667,OYO 13337 Home 2BHK Studio Stays Village Shuru,MNL297,IN,0.16,,36,0,0,,0.9722,0.9722,0,0.9722,0,0,0.0278,19,0,,,0,,Above Average,0,,0,,,Himachal Pradesh,India,Manali,0,84.58
5668,OYO 8506 Pallivasal,MNR092,IN,0.29,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Kerala,India,Munnar,3,82.77
5669,OYO 15754 Mookkannoor Tourist Home,KOC318,IN,0.16,,92,0,0,,1,1,0,1,0,0,0,80,0,,,0,,Above Average,0,,0,,,Kerala,India,Kochi,3,85.39
5670,OYO 15674 Mahak Residency,MNS013,IN,0.14,,44,0,0,,1,1,0,1,0,0,0,29,0,,,0,,Above Average,0,,0,,,Haryana,India,Gurgaon,3,84.18
5671,OYO 12701 Home Spacious 1BHK Calangute,GOA1313,IN,0.19,,46,0,0,,0.8478,1,0,1,0,0,0,40,0,,,0,,Above Average,0,,0,,,Goa,India,Calangute,0,80.97
5672,OYO 14090 Fine Stay Guest House,SHL051,IN,0.24,,3,0,0,,1,1,0,1,0,0,0,3,0,,,0,,Low,0,,0,,,Meghalaya,India,Shillong,3,80.82
5673,OYO 13936 Eleanora Saltlake,KOL673,IN,0.07,,13,0,0,,0.7692,0.7692,0.9925,0.7692,0,0,0.2308,354,0,,,0,,Above Average,0,,0,,,West Bengal,India,Kolkata,3,80.24
5674,OYO 10484 Hotel Coffee County Retreat,WND067,IN,0.26,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Kerala,India,Wayanad,3,
5675,OYO 13040 Home 1RK Valley View Solan,KAS055,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Kasauli,0,
5676,FabExpress Railway Inn Thane Railway Station,MUM021,IN,0.21,0.44,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Mumbai,3,78.51
5677,OYO 12533 Hotel Kishna Palace,MUS110,IN,0.26,,613,0,0,,0.0326,0.0326,0,0.0326,0,0,0.9674,16,0,,,0,,Low,0,,0,,,Uttarakhand,India,Mussoorie,3,80.68
5678,OYO 12385 Home 2BHK Calangute Beach,GOA1274,IN,0.12,,34,0,0,,1,1,0,1,0,0,0,24,0,,,0,,Above Average,0,,0,,,Goa,India,Velha Goa,0,81.11
5679,OYO 11585 Hotel Shreenithi,MDU042,IN,0.18,,2232,0,0,,0.1116,0.7352,0.0012,0.0067,0,0.7285,0.2648,1390,0,,,0,,Below Average,0,,0,,,Tamil Nadu,India,Madurai,3,80.24
5680,OYO 7062 Amana Suites,MUM564,IN,0.32,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Mumbai,3,80.59
5681,OYO 10638 Chandana Royal Resorts,MNR122,IN,0.26,,1,0,0,,1,1,0,1,0,0,0,1,0,,,0,,Low,0,,0,,,Kerala,India,Munnar,3,
5682,OYO 8271 Elite Homes,HYD444,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Telangana,India,Hyderabad,3,76.76
5683,OYO 134 Hotel Sleepwell,NP_PKR025,IN,0.31,,47,0,0,,0,0.9149,0,0,0,0.9149,0.0851,43,0,,,0,,Above Average,0,,0,,,Pašcim,Nepal,Pokhara,0,82.05
5684,OYO 15163 Hotel Jojo's Inn,GTK165,IN,0.07,,0,0,0,,,,1,,,,,1,0,,,0,,Low,0,,0,,,Sikkim,India,Gangtok,3,79.79
5685,Oyo 14227 Home Tribal 3bhk Bunglow Brahmpol,UDP218,IN,0.16,,39,0,0,,0.5897,0.5897,0,0.5897,0,0,0.4103,8,0,,,0,,Above Average,0,,0,,,Rajasthan,India,Udaipur,0,
5686,OYO 5818 Hotel Shyam Paradise,JAI246,IN,0.18,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Rajasthan,India,Jaipur,3,78.8
5687,Oyo 146 Somewhere  & Restaurant,NP_KTM036,IN,0.18,,20,0,0,,0.95,0.95,0,0.3,0,0.65,0.05,7,0,,,0,,Average,0,,0,,,Madhya,Nepal,Kathmandu,0,80.59
5688,OYO 12889 Jovinho's Place,GOA1351,IN,0.24,,50,0,0,,0.96,0.96,0,0.94,0,0.02,0.04,49,0,,,0,,Above Average,0,,0,,,Goa,India,Panaji,3,82.05
5689,Oyo 137  Pranisha Inn,NP_KTM031,IN,0.16,,22,0,0,,1,1,0,0.6364,0.1364,0.2273,0,16,0,,,0,,Above Average,0,,0,,,Madhya,Nepal,Kathmandu,0,82.53
5690,OYO 12425 Neha Palace,MNL279,IN,0.15,,134,0,0,,0.9851,1,0.3796,0.9627,0,0.0373,0,134,0,,,0,,Above Average,0,,0,,,Himachal Pradesh,India,Manali,3,81.7
5691,OYO 9951 Hotel Satkar Avenue,CHA301,IN,0.31,,13,0,0,,1,1,0,1,0,0,0,10,0,,,0,,Low,0,,0,,,Punjab,India,Patiala,3,81.85
5692,OYO 14602 hotel shagun palace,JOD091,IN,0.2,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Rajasthan,India,Jodhpur,3,80.28
5693,Oyo 14551 Home Luxury 2 Bhk Thevara,KOC287,IN,0.17,,14,0,0,,0.7143,0.7143,0,0.7143,0,0,0.2857,6,0,,,0,,Above Average,0,,0,,,Kerala,India,Kochi,0,
5694,OYO 5156 Home Stay Silver Tree Inn,NAN090,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Nainital,3,
5695,OYO 12873 Home Beach facing Studios Morjim,GOA1345,IN,0.12,,15,0,0,,0.9333,0.9333,0,0,0,0.9333,0.0667,11,0,,,0,,Above Average,0,,0,,,Goa,India,Pernem,0,
5696,Oyo 14063 Home 1bhk Near By Ashwem Beach,GOA1512,IN,0.21,,51,0,0,,0.6471,0.7255,0,0.5294,0,0.1961,0.2745,30,0,,,0,,Low,0,,0,,,Goa,India,Morjim,0,
5697,OYO 12468 Home Spacious 3BHK Morjim Beach,GOA1291,IN,0.24,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Goa,India,Velha Goa,0,
5698,OYO 7044 Hotel Megha,LCK134,IN,0.28,,89,0,0,,0.236,0.6966,0,0.2921,0,0.4045,0.3034,62,0,,,0,,Average,0,,0,,,Uttar Pradesh,India,Lucknow,3,85.68
5699,OYO 8918 Rest Inn,WND048,IN,0.26,,10,0,0,,1,1,0,0.4,0,0.6,0,7,0,,,0,,Above Average,0,,0,,,Kerala,India,Wayanad,3,
5700,OYO 4002 Hotel Dwaraka,KOC063,IN,0.27,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Kerala,India,Kochi,0,76.55
5701,OYO 9391 Kk Nagar,MDU040,IN,0.3,,2,0,0,,1,1,0,1,0,0,0,1,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Madurai,3,
5702,OYO 10990 Gobind Regency,CHA285,IN,0.29,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Punjab,India,Zirakpur,3,81.21
5703,OYO 12346 Siris Inn,GRG879,IN,0.31,,21,0,0,,0.9524,0.9524,0,0.9524,0,0,0.0476,19,0,,,0,,Low,0,,0,,,Haryana,India,Gurgaon,3,
5704,Oyo 20011 Silverkey Poundukadavu,TVM093,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Kerala,India,Thiruvananthapuram,0,81.15
5705,Oyo 154  Goa Palace,NP_PKR031,IN,0.31,,8,0,0,,0.875,1,0,0.625,0,0.375,0,3,0,,,0,,Above Average,0,,0,,,Pašcim,Nepal,Pokhara,0,83.76
5706,OYO 9237 Hotel Mumtaz Mahal,AGR121,IN,0.23,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttar Pradesh,India,Agra,3,81.08
5707,OYO 3900 Landmark Hotels,PUR045,IN,0.24,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Odisha,India,Puri,3,84.97
5708,OYO 9137 Jasmine Suites,MYS078,IN,0.31,,17,0,0,,1,1,0,1,0,0,0,17,0,,,0,,Low,0,,0,,,Karnataka,India,Mysore,3,
5709,OYO 9996 Arton Suites,MUM607,IN,0.31,,30,0,0,,1,1,0,1,0,0,0,14,0,,,0,,Above Average,0,,0,,,Maharashtra,India,Mumbai,3,82.22
5710,OYO 14556 Aster Villa,GRG926,IN,0.31,,13,0,0,,1,1,0,1,0,0,0,11,0,,,0,,Low,0,,0,,,Haryana,India,Gurgaon,3,82.7
5711,Oyo 252 Lotus,MY_KLM146,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Negeri Sembilan,Malaysia,Seremban,0,80.79
5712,OYO 5208 The Park View Inn,CHN472,IN,0.34,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Chennai,3,81.97
5713,Oyo 13878 Home Spacious 3bhk Kumarhatti,KAS079,IN,0.31,,5,0,0,,0.8,0.8,0,0.8,0,0,0.2,0,0,,,0,,Above Average,0,,0,,,Himachal Pradesh,India,Solan,0,
5714,Oyo 14147 Beach Facing Cottages Morjim,GOA1523,IN,0.24,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Goa,India,Morjim,0,83.26
5715,OYO 5488 Hotel The Libra,BLR393,IN,0.17,,1,0,0,,1,1,0,1,0,0,0,1,0,,,0,,Low,0,,0,,,Karnataka,India,Bengaluru,3,73
5716,OYO 587 Tamanna Homestay,KOL005,IN,0.29,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,West Bengal,India,Kolkata,3,82.67
5717,OYO 2254 Hotel Villa 211,KOL114,IN,0.29,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,West Bengal,India,Kolkata,3,
5718,OYO 11761 WhitePod Inn,GRG866,IN,0.13,0.29,237,0,0,,0.2025,0.7932,0,0.0844,0,0.7089,0.2068,157,0,,,0,,Below Average,0,,0,,,Haryana,India,Gurgaon,3,82.47
5719,OYO 304 Zero Hour Hotel,MY_KLM182,IN,0.28,0.34,18,0,0,,1,1,0,0.6111,0,0.3889,0,17,0,,,0,,Above Average,0,,0,,,Kuala Lumpur,Malaysia,Kuala Lumpur,0,79.99
5720,OYO 10130 Felicity INN Nungambakkam,CHN509,IN,0.23,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Chennai,3,83.35
5721,OYO 13078 Home 1BHK Studio Near Bus Stand,PNY134,IN,0.24,0.28,774,0,0,,0.1512,0.8579,0,0.0879,0,0.77,0.1421,567,0,,,0,,Above Average,0,,0,,,Pondicherry,India,Puducherry,0,80.51
5722,OYO 12072 Lifestyle Manali,MNL274,IN,0.13,0.25,61,0,0,,1,1,0.0317,0.9836,0,0.0164,0,53,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Manali,3,81.43
5723,OYO 10435 Star Deluxe Lodge,BLR695,IN,0.32,,22,0,0,,1,1,0,0.1364,0,0.8636,0,14,0,,,0,,Low,0,,0,,,Karnataka,India,Bengaluru,3,70.73
5724,OYO 5130 Hotel Raks,TJU008,IN,0.25,,1203,0,0,,0.0108,0.0133,0,0.0008,0,0.0125,0.9867,5,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Thanjavur,3,76.74
5725,OYO 4085 Hotel Riviera Executive,AUR024,IN,0.31,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Aurangabad,3,
5726,D'Amore  ,GRG951,IN,0.2,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Haryana,India,Sohna,4,79.08
5727,OYO 10111 Hotel Roopa International,ASR123,IN,0.31,,5,0,0,,1,1,0,1,0,0,0,2,0,,,0,,Low,0,,0,,,Punjab,India,Amritsar,3,
5728,OYO 5710 The Majestic Crown Hotel,CHA179,IN,0.13,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Punjab,India,Chandigarh,3,82.82
5729,OYO 13195 The Abodes Guest house,NOD321,IN,0.17,,769,0,0,,0.0221,0.0273,0,0.0273,0,0,0.9727,11,0,,,0,,Low,0,,0,,,Uttar Pradesh,India,Greater Noida,3,85.06
5730,OYO 14841 Indra Holiday Home,WND082,IN,0.15,0.22,229,0,0,,0.9214,0.9738,0,0.4672,0,0.5066,0.0262,195,0,,,0,,Above Average,0,,0,,,Kerala,India,Wayanad,3,86.1
5731,OYO 3960 Shree Mohan Villas,JOD038,IN,0.15,,191,0,0,,1,1,0,0.9686,0,0.0314,0,155,0,,,0,,Above Average,0,,0,,,Rajasthan,India,Jodhpur,0,
5732,OYO 12187 Home LuxuryHill View 2BHK Villa Kasauli,KAS040,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Kasauli,0,81.8
5733,OYO 4101 Hotel D P International,PAT070,IN,0.11,0.26,5117,0,0,,0.0066,0.9502,0.0002,0.06,0.0008,0.8896,0.0496,4719,0,,,0,,Below Average,0,,0,,,Bihar,India,Patna,3,82.53
5734,OYO 14153 abc b&b,SHM417,IN,0.3,,21,0,0,,1,1,0,1,0,0,0,18,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Shimla,0,81.55
5735,OYO 3684 Apartment Pentagon Group,PUN152,IN,0.14,0.52,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Pune,3,80.9
5736,OYO 11362 Sky Residency,NOD298,IN,0.31,,33,0,0,,0.9697,0.9697,0,0.9697,0,0,0.0303,34,0,,,0,,Above Average,0,,0,,,Delhi,India,Delhi,3,81.67
5737,OYO 11947 Home 1BHK Tower IVY Bhowali,NAN242,IN,0.2,0.44,396,0,0,,0.6111,0.9293,0,0.1313,0.0076,0.7904,0.0707,346,0,,,0,,Average,0,,0,,,Uttarakhand,India,Nainital,0,82.44
5738,OYO 10684 Kishan Camps Resort,PUS024,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Rajasthan,India,Ajmer,3,
5739,OYO 327 Hotel City Centre Inn,DEL021,IN,0.36,,4,0,0,,1,1,0,1,0,0,0,4,0,,,0,,Low,0,,0,,,Delhi,India,Delhi,3,
5740,OYO 408 Vile Parle,MUM019,IN,0.25,,4,0,0,,1,1,0,1,0,0,0,3,0,,,0,,Low,0,,0,,,Maharashtra,India,Mumbai,3,83.11
5741,OYO 10190 Hotel Gagan Grant,RPR072,IN,0.11,0.19,4289,0,0,,0.0021,0.9275,0,0.0233,0,0.9042,0.0725,3512,0,,,0,,Low,0,,0,,,Chhattisgarh,India,Raipur,3,85.6
5742,OYO 9646 Hotel Golden Pearl Inn,TPI063,IN,0.23,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Andhra Pradesh,India,Chittoor,3,81.54
5743,OYO 12849 Hotel Grand Akshay,JAI239,IN,0.13,0.45,1177,0,0,,0.0535,0.8496,0,0.0637,0,0.7859,0.1504,776,0,,,0,,Below Average,0,,0,,,Rajasthan,India,Jaipur,3,85.66
5744,OYO 12942 Nathu Palace,DEL922,IN,0.12,0.19,1651,0,0,,0.0297,0.1121,0,0.0012,0,0.1108,0.8879,146,0,,,0,,Low,0,,0,,,Delhi,India,Delhi,3,82.4
5745,OYO 12215 Home 1RK Exotic Valley View Chail,SHM297,IN,0.22,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Chail,0,
5746,OYO 14352 The Nest Inn Masanagudi,OTY105,IN,0.2,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Coonoor,3,78.58
5747,OYO 3266 Kumarhatti,KAS009,IN,0.25,,159,0,0,,0.1887,0.5031,0,0.0881,0,0.4151,0.4969,80,0,,,0,,Low,0,,0,,,Himachal Pradesh,India,Solan,3,82.46
5748,OYO 10765 Hotel Tanish,GOA1159,IN,0.24,,37,0,0,,0.973,0.973,0,0.973,0,0,0.027,35,0,,,0,,Low,0,,0,,,Goa,India,Margao,3,81.71
5749,OYO 2807 Hotel Crosswinds Residency,NOD094,IN,0.11,0.42,2954,0,0,,0.0017,0.8876,0,0.0525,0,0.8351,0.1124,2205,0,,,0,,Low,0,,0,,,Uttar Pradesh,India,Noida,3,90
5750,OYO 5942 Hotel Giani International,DEL577,IN,0.29,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Delhi,India,Delhi,3,82.47
5751,OYO 4044 The Raikwals Hotel,NAN049,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Nainital,3,80.89
5752,OYO 12704 Home Pool View 1BHK Benaulim,GOA1316,IN,0.14,,80,0,0,,0.975,0.975,0,0,0,0.975,0.025,60,0,,,0,,Above Average,0,,0,,,Goa,India,Benaulim,0,79.21
5753,OYO 2728 Hotel Horizon,GOA233,IN,0.31,,27,0,0,,0.963,0.963,0,0.963,0,0,0.037,20,0,,,0,,Above Average,0,,0,,,Goa,India,Calangute,3,79.76
5754,Oyo 14149 Home Pleasant 1bhk Cottage Bhimtal Haldwani Road,NAN316,IN,0.3,,318,0,0,,0.1258,0.8365,0,0.0818,0,0.7547,0.1635,260,0,,,0,,Above Average,0,,0,,,Uttarakhand,India,Nainital,0,83.94
5755,OYO 6759 Hotel Sky Park,CHN483,IN,0.12,,54,0,0,,0.1296,0.1296,0,0.037,0,0.0926,0.8704,6,0,,,0,,Low,0,,0,,,Tamil Nadu,India,Chennai,3,78.53
5756,OYO 5906 Hotel Parvaaz,CHA186,IN,0.12,0.14,439,0,0,,0.8815,0.8815,0,0.8815,0,0,0.1185,313,0,,,0,,Average,0,,0,,,Punjab,India,Chandigarh,3,84.31
5757,Oyo 13743 Home Modern 2bhk Near Mall Road,MNL345,IN,0.13,,27,0,0,,0.7037,0.7037,0,0.7037,0,0,0.2963,11,0,,,0,,Above Average,0,,0,,,Himachal Pradesh,India,Manali,0,81.81
5758,OYO 324 Johnshun Hotel,MY_KLM194,IN,0.16,,16,0,0,,0.8125,0.8125,0,0,0,0.8125,0.1875,9,0,,,0,,Low,0,,0,,,Selangor,Malaysia,Petaling Jaya,0,81.6
5759,OYO 8991 near Mall Road,NAN154,IN,0.25,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttarakhand,India,Nainital,3,
5760,OYO 3136 Hotel Starlight Inn,AUR015,IN,0.3,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Maharashtra,India,Aurangabad,3,70.92
5761,OYO 8078 The Central Palm,DHN102,IN,0.21,0.33,147,0,0,,0.0136,0.7823,0,0.4762,0,0.3061,0.2177,111,0,,,0,,Low,0,,0,,,Uttarakhand,India,Dehradun,3,80.59
5762,OYO 532 Hotel Alpine Park,GRG121,IN,0.14,0.18,329,0,0,,0.2249,0.7842,0,0.2067,0,0.5775,0.2158,172,0,,,0,,Below Average,0,,0,,,Haryana,India,Gurgaon,3,87.4
5763,OYO 8839 near Vadackal Beach Road,ALP069,IN,0.28,,17,0,0,,1,1,0,1,0,0,0,18,0,,,0,,Low,0,,0,,,Kerala,India,Alappuzha,3,81.17
5764,Oyo 13664 Home Trip Traveller 2bhk Kamyana,SHM385,IN,0.19,,10,0,0,,1,1,0,0.9,0,0.1,0,7,0,,,0,,Above Average,0,,0,,,Himachal Pradesh,India,Shimla,0,
5765,OYO 220 Hotel Sri Maluri,MY_KLM129,IN,0.29,,23,0,0,,1,1,0,0.1304,0,0.8696,0,18,0,,,0,,Above Average,0,,0,,,Kuala Lumpur,Malaysia,Kuala Lumpur,0,84.53
5766,OYO 6591 near Artemis Hospital,GRG760,IN,0.31,,34,0,0,,1,1,0,1,0,0,0,34,0,,,0,,Low,0,,0,,,Delhi,India,Delhi,3,81.52
5767,OYO 9368 Hotel Pratap,AGR125,IN,0.22,,0,0,0,,,,,,,,,0,0,,,0,,Low,0,,0,,,Uttar Pradesh,India,Agra,0,79.68
5768,Oyo 14074 Home Serene 2bhk Barlowganj,MUS157,IN,0.12,,99,0,0,,1,1,0,1,0,0,0,75,0,,,0,,Above Average,0,,0,,,Uttarakhand,India,Mussoorie,0,82.27
